n,instance_idx,seed,due_model,due_range,due_tardiness,memo_mode,memo_cleaning,branch_rule,memo_capacity,best_sum_tardiness,time_ms,nodes,leaves,pruned_by_bound,pruned_by_memo_exact,pruned_by_memo_lb,memo_hits,memo_misses,memo_inserts,memo_updates,memo_evictions,memo_peak_size,memo_final_size,status,error
223,0,223001594,potts,0.6,0.6,solution,lru,decomposition,14641933,91915,2.5822,978,1,0,0,0,0,0,0,0,0,0,0,ok,
224,0,224001597,potts,0.6,0.6,solution,lru,decomposition,14641933,92177,2.9039,1026,1,0,0,0,0,0,0,0,0,0,0,ok,
225,0,225001600,potts,0.6,0.6,solution,lru,decomposition,14641933,61128,2.723,1010,1,0,0,0,0,0,0,0,0,0,0,ok,
226,0,226001603,potts,0.6,0.6,solution,lru,decomposition,14641933,80135,2.6931,1020,1,0,0,0,0,0,0,0,0,0,0,ok,
227,0,227001606,potts,0.6,0.6,solution,lru,decomposition,14641933,70040,3.0575,1050,1,0,0,0,0,0,0,0,0,0,0,ok,
228,0,228001609,potts,0.6,0.6,solution,lru,decomposition,14641933,81826,2.9527,1006,1,0,0,0,0,0,0,0,0,0,0,ok,
229,0,229001612,potts,0.6,0.6,solution,lru,decomposition,14641933,90819,2.8191,1062,1,0,0,0,0,0,0,0,0,0,0,ok,
230,0,230001615,potts,0.6,0.6,solution,lru,decomposition,14641933,80303,2.8837,1048,1,0,0,0,0,0,0,0,0,0,0,ok,
231,0,231001618,potts,0.6,0.6,solution,lru,decomposition,14641933,79606,2.9069,1048,1,0,0,0,0,0,0,0,0,0,0,ok,
232,0,232001621,potts,0.6,0.6,solution,lru,decomposition,14641933,74929,2.9363,1048,1,0,0,0,0,0,0,0,0,0,0,ok,
233,0,233001624,potts,0.6,0.6,solution,lru,decomposition,14641933,90146,2.8242,1064,1,0,0,0,0,0,0,0,0,0,0,ok,
234,0,234001627,potts,0.6,0.6,solution,lru,decomposition,14641933,83575,2.8371,1056,1,0,0,0,0,0,0,0,0,0,0,ok,
235,0,235001630,potts,0.6,0.6,solution,lru,decomposition,14641933,92678,3.0903,1042,1,0,0,0,0,0,0,0,0,0,0,ok,
236,0,236001633,potts,0.6,0.6,solution,lru,decomposition,14641933,85752,3.0474,1054,1,0,0,0,0,0,0,0,0,0,0,ok,
237,0,237001636,potts,0.6,0.6,solution,lru,decomposition,14641933,97198,2.8828,1076,1,0,0,0,0,0,0,0,0,0,0,ok,
238,0,238001639,potts,0.6,0.6,solution,lru,decomposition,14641933,100223,3.0161,1050,1,0,0,0,0,0,0,0,0,0,0,ok,
239,0,239001642,potts,0.6,0.6,solution,lru,decomposition,14641933,99222,3.1143,1068,1,0,0,0,0,0,0,0,0,0,0,ok,
240,0,240001645,potts,0.6,0.6,solution,lru,decomposition,14641933,98943,3.1162,1068,1,0,0,0,0,0,0,0,0,0,0,ok,
241,0,241001648,potts,0.6,0.6,solution,lru,decomposition,14641933,114953,3.0515,1066,1,0,0,0,0,0,0,0,0,0,0,ok,
242,0,242001651,potts,0.6,0.6,solution,lru,decomposition,14641933,109131,3.0602,1068,1,0,0,0,0,0,0,0,0,0,0,ok,
243,0,243001654,potts,0.6,0.6,solution,lru,decomposition,14641933,90577,3.2317,1086,1,0,0,0,0,0,0,0,0,0,0,ok,
244,0,244001657,potts,0.6,0.6,solution,lru,decomposition,14641933,112275,3.2211,1084,1,0,0,0,0,0,0,0,0,0,0,ok,
245,0,245001660,potts,0.6,0.6,solution,lru,decomposition,14641933,99528,3.2847,1104,1,0,0,0,0,0,0,0,0,0,0,ok,
246,0,246001663,potts,0.6,0.6,solution,lru,decomposition,14641933,79817,3.2015,1136,1,0,0,0,0,0,0,0,0,0,0,ok,
247,0,247001666,potts,0.6,0.6,solution,lru,decomposition,14641933,108794,3.2634,1088,1,0,0,0,0,0,0,0,0,0,0,ok,
248,0,248001669,potts,0.6,0.6,solution,lru,decomposition,14641933,104758,3.4577,1150,1,0,0,0,0,0,0,0,0,0,0,ok,
249,0,249001672,potts,0.6,0.6,solution,lru,decomposition,14641933,124460,3.3399,1142,1,0,0,0,0,0,0,0,0,0,0,ok,
250,0,250001675,potts,0.6,0.6,solution,lru,decomposition,14641933,106628,3.522,1140,1,0,0,0,0,0,0,0,0,0,0,ok,
251,0,251001678,potts,0.6,0.6,solution,lru,decomposition,14641933,91829,3.5801,1162,1,0,0,0,0,0,0,0,0,0,0,ok,
252,0,252001681,potts,0.6,0.6,solution,lru,decomposition,14641933,106400,3.6386,1166,1,0,0,0,0,0,0,0,0,0,0,ok,
253,0,253001684,potts,0.6,0.6,solution,lru,decomposition,14641933,94940,3.9111,1142,1,0,0,0,0,0,0,0,0,0,0,ok,
254,0,254001687,potts,0.6,0.6,solution,lru,decomposition,14641933,117074,3.659,1160,1,0,0,0,0,0,0,0,0,0,0,ok,
255,0,255001690,potts,0.6,0.6,solution,lru,decomposition,14641933,112505,3.8236,1150,1,0,0,0,0,0,0,0,0,0,0,ok,
256,0,256001693,potts,0.6,0.6,solution,lru,decomposition,14641933,106922,3.794,1170,1,0,0,0,0,0,0,0,0,0,0,ok,
257,0,257001696,potts,0.6,0.6,solution,lru,decomposition,14316557,104420,3.5582,1160,1,0,0,0,0,0,0,0,0,0,0,ok,
258,0,258001699,potts,0.6,0.6,solution,lru,decomposition,14316557,106867,3.603,1150,1,0,0,0,0,0,0,0,0,0,0,ok,
259,0,259001702,potts,0.6,0.6,solution,lru,decomposition,14316557,107444,3.7081,1130,1,0,0,0,0,0,0,0,0,0,0,ok,
260,0,260001705,potts,0.6,0.6,solution,lru,decomposition,14316557,104324,4.0803,1152,1,0,0,0,0,0,0,0,0,0,0,ok,
261,0,261001708,potts,0.6,0.6,solution,lru,decomposition,14316557,102209,3.6843,1162,1,0,0,0,0,0,0,0,0,0,0,ok,
262,0,262001711,potts,0.6,0.6,solution,lru,decomposition,14316557,115473,3.7679,1178,1,0,0,0,0,0,0,0,0,0,0,ok,
263,0,263001714,potts,0.6,0.6,solution,lru,decomposition,14316557,106892,4.0747,1198,1,0,0,0,0,0,0,0,0,0,0,ok,
264,0,264001717,potts,0.6,0.6,solution,lru,decomposition,14316557,106613,3.9371,1160,1,0,0,0,0,0,0,0,0,0,0,ok,
265,0,265001720,potts,0.6,0.6,solution,lru,decomposition,14316557,97469,4.3355,1210,1,0,0,0,0,0,0,0,0,0,0,ok,
266,0,266001723,potts,0.6,0.6,solution,lru,decomposition,14316557,116835,3.9074,1208,1,0,0,0,0,0,0,0,0,0,0,ok,
267,0,267001726,potts,0.6,0.6,solution,lru,decomposition,14316557,118954,3.9606,1166,1,0,0,0,0,0,0,0,0,0,0,ok,
268,0,268001729,potts,0.6,0.6,solution,lru,decomposition,14316557,131541,4.4242,1242,1,0,0,0,0,0,0,0,0,0,0,ok,
269,0,269001732,potts,0.6,0.6,solution,lru,decomposition,14316557,89160,4.0418,1228,1,0,0,0,0,0,0,0,0,0,0,ok,
270,0,270001735,potts,0.6,0.6,solution,lru,decomposition,14316557,127161,4.2504,1236,1,0,0,0,0,0,0,0,0,0,0,ok,
271,0,271001738,potts,0.6,0.6,solution,lru,decomposition,14316557,140181,4.1715,1216,1,0,0,0,0,0,0,0,0,0,0,ok,
272,0,272001741,potts,0.6,0.6,solution,lru,decomposition,14316557,109285,4.4916,1240,1,0,0,0,0,0,0,0,0,0,0,ok,
273,0,273001744,potts,0.6,0.6,solution,lru,decomposition,14316557,109166,4.1786,1252,1,0,0,0,0,0,0,0,0,0,0,ok,
274,0,274001747,potts,0.6,0.6,solution,lru,decomposition,14316557,100979,4.1277,1248,1,0,0,0,0,0,0,0,0,0,0,ok,
275,0,275001750,potts,0.6,0.6,solution,lru,decomposition,14316557,117661,4.2114,1206,1,0,0,0,0,0,0,0,0,0,0,ok,
276,0,276001753,potts,0.6,0.6,solution,lru,decomposition,14316557,147632,4.3796,1232,1,0,0,0,0,0,0,0,0,0,0,ok,
277,0,277001756,potts,0.6,0.6,solution,lru,decomposition,14316557,110870,4.4227,1270,1,0,0,0,0,0,0,0,0,0,0,ok,
278,0,278001759,potts,0.6,0.6,solution,lru,decomposition,14316557,128143,4.2632,1258,1,0,0,0,0,0,0,0,0,0,0,ok,
279,0,279001762,potts,0.6,0.6,solution,lru,decomposition,14316557,120918,4.49,1284,1,0,0,0,0,0,0,0,0,0,0,ok,
280,0,280001765,potts,0.6,0.6,solution,lru,decomposition,14316557,159289,4.5082,1274,1,0,0,0,0,0,0,0,0,0,0,ok,
281,0,281001768,potts,0.6,0.6,solution,lru,decomposition,14316557,128004,4.5808,1284,1,0,0,0,0,0,0,0,0,0,0,ok,
282,0,282001771,potts,0.6,0.6,solution,lru,decomposition,14316557,123807,4.2675,1258,1,0,0,0,0,0,0,0,0,0,0,ok,
283,0,283001774,potts,0.6,0.6,solution,lru,decomposition,14316557,134389,4.6044,1270,1,0,0,0,0,0,0,0,0,0,0,ok,
284,0,284001777,potts,0.6,0.6,solution,lru,decomposition,14316557,136656,4.4962,1274,1,0,0,0,0,0,0,0,0,0,0,ok,
285,0,285001780,potts,0.6,0.6,solution,lru,decomposition,14316557,123998,4.3793,1250,1,0,0,0,0,0,0,0,0,0,0,ok,
286,0,286001783,potts,0.6,0.6,solution,lru,decomposition,14316557,113138,4.7213,1286,1,0,0,0,0,0,0,0,0,0,0,ok,
287,0,287001786,potts,0.6,0.6,solution,lru,decomposition,14316557,145924,4.6791,1300,1,0,0,0,0,0,0,0,0,0,0,ok,
288,0,288001789,potts,0.6,0.6,solution,lru,decomposition,14316557,133113,4.9067,1296,1,0,0,0,0,0,0,0,0,0,0,ok,
289,0,289001792,potts,0.6,0.6,solution,lru,decomposition,14316557,128257,4.7393,1300,1,0,0,0,0,0,0,0,0,0,0,ok,
290,0,290001795,potts,0.6,0.6,solution,lru,decomposition,14316557,148579,5.3879,1328,1,0,0,0,0,0,0,0,0,0,0,ok,
291,0,291001798,potts,0.6,0.6,solution,lru,decomposition,14316557,147536,4.8406,1272,1,0,0,0,0,0,0,0,0,0,0,ok,
292,0,292001801,potts,0.6,0.6,solution,lru,decomposition,14316557,168156,4.9285,1304,1,0,0,0,0,0,0,0,0,0,0,ok,
293,0,293001804,potts,0.6,0.6,solution,lru,decomposition,14316557,148276,5.2476,1350,1,0,0,0,0,0,0,0,0,0,0,ok,
